dataset_role,hypothesis,budget_k,failure_mechanism,usable_feasible_count,usable_recovered_count,recovered_event_ids,unrecovered_event_ids
DEVELOPMENT,R1_FEASIBILITY_LEXICOGRAPHIC,8,CANDIDATE_BUDGET_TRUNCATION,2,1,DVE029,DVE039
DEVELOPMENT,R1_FEASIBILITY_LEXICOGRAPHIC,8,MULTI_PARAMETER_OR_FACTOR_SPACE_COVERAGE,3,2,DVE030|DVE037,DVE002
DEVELOPMENT,R1_FEASIBILITY_LEXICOGRAPHIC,8,NOT_IN_REMAINING_MISS_TABLE,11,10,DVE001|DVE012|DVE014|DVE015|DVE017|DVE018|DVE020|DVE024|DVE031|DVE038,DVE022
DEVELOPMENT,R1_FEASIBILITY_LEXICOGRAPHIC,8,PROBE_ROOT_OR_D_MID_SELECTION,1,0,,DVE005
DEVELOPMENT,R1_FEASIBILITY_LEXICOGRAPHIC,12,CANDIDATE_BUDGET_TRUNCATION,2,1,DVE029,DVE039
DEVELOPMENT,R1_FEASIBILITY_LEXICOGRAPHIC,12,MULTI_PARAMETER_OR_FACTOR_SPACE_COVERAGE,3,3,DVE002|DVE030|DVE037,
DEVELOPMENT,R1_FEASIBILITY_LEXICOGRAPHIC,12,NOT_IN_REMAINING_MISS_TABLE,11,10,DVE001|DVE012|DVE014|DVE015|DVE017|DVE018|DVE020|DVE024|DVE031|DVE038,DVE022
DEVELOPMENT,R1_FEASIBILITY_LEXICOGRAPHIC,12,PROBE_ROOT_OR_D_MID_SELECTION,1,0,,DVE005
DEVELOPMENT,R1_FEASIBILITY_LEXICOGRAPHIC,16,CANDIDATE_BUDGET_TRUNCATION,2,1,DVE029,DVE039
DEVELOPMENT,R1_FEASIBILITY_LEXICOGRAPHIC,16,MULTI_PARAMETER_OR_FACTOR_SPACE_COVERAGE,3,3,DVE002|DVE030|DVE037,
DEVELOPMENT,R1_FEASIBILITY_LEXICOGRAPHIC,16,NOT_IN_REMAINING_MISS_TABLE,11,10,DVE001|DVE012|DVE014|DVE015|DVE017|DVE018|DVE020|DVE024|DVE031|DVE038,DVE022
DEVELOPMENT,R1_FEASIBILITY_LEXICOGRAPHIC,16,PROBE_ROOT_OR_D_MID_SELECTION,1,1,DVE005,
DEVELOPMENT,R1_FEASIBILITY_LEXICOGRAPHIC,24,CANDIDATE_BUDGET_TRUNCATION,2,1,DVE029,DVE039
DEVELOPMENT,R1_FEASIBILITY_LEXICOGRAPHIC,24,MULTI_PARAMETER_OR_FACTOR_SPACE_COVERAGE,3,3,DVE002|DVE030|DVE037,
