case_id,corpus,primary_taxonomy,witness_path_digest,stage_A_exact_lateral_present,stage_B_exact_transition_present,stage_C_exact_pair_eligible,stage_D_in_B128,stage_E_in_ordered_top12,stage_F_reconstructed_by_frozen_gqsc,stage_G_final_selected,audit_counterfactual_exact_validator_hard_valid,fixability_class,mechanism_detail
RP2_2,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,NON_BLOCKING_RESULT_SEMANTICS_REGRESSION
RP2_3,RULE_PROPERTY,TOP12_RANKING_DISPLACEMENT,d2fda08adcd0bf96,YES,YES,YES,YES,NO,NO,NO,1,SELECTION_ONLY,HARD_VALID_PAIR_IN_B128_BUT_OUTSIDE_TOP12
RP2_6,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,NON_BLOCKING_RESULT_SEMANTICS_REGRESSION
RP2_8,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,NON_BLOCKING_RESULT_SEMANTICS_REGRESSION
RP2_10,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,NON_BLOCKING_RESULT_SEMANTICS_REGRESSION
RP2_17,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,CORRIDOR_ORACLE_ONLY_NO_EXACT_P3_WITNESS
RP2_20,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,NON_BLOCKING_RESULT_SEMANTICS_REGRESSION
RP2_22,RULE_PROPERTY,B128_PAIR_TRUNCATION,bb76e88f0e4ce5be,YES,YES,YES,NO,NO,NO,NO,1,PAIR_POLICY_OR_BUDGET,HARD_VALID_OPERATOR_PAIR_OUTSIDE_B128
RP2_26,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,CORRIDOR_ORACLE_ONLY_NO_EXACT_P3_WITNESS
RP2_31,RULE_PROPERTY,OTHER,,NA,NA,NA,NA,NA,NA,NO,0,NOT_ATTRIBUTABLE_FROM_EXACT_P3_EVIDENCE,NON_BLOCKING_RESULT_SEMANTICS_REGRESSION
