schema_version,path,name,storage_format,duration_s,size_bytes,message_count,topic_count,start_ns,end_ns,topics_json,files_json,metadata_sha256,structural_sha256,content_sha256,name_duplicate_pattern,inventory_path_match
rosbag_research_inventory/1,/home/sungho/.local/share/Trash/files/Copy of rosbag2_2026_08_24-13_30_55.2,Copy of rosbag2_2026_08_24-13_30_55.2,mcap,506.791553322,337404023,421349,44,1787545856022277283,1787546362813830605,"[{""name"":""/ackermann_cmd"",""type"":""ackermann_msgs/msg/AckermannDriveStamped"",""message_count"":10551},{""name"":""/car_state/frenet/odom"",""type"":""nav_msgs/msg/Odometry"",""message_count"":16422},{""name"":""/centerline_waypoints"",""type"":""f110_msgs/msg/WpntArray"",""message_count"":253},{""name"":""/centerline_waypoints/markers"",""type"":""visualization_msgs/msg/MarkerArray"",""message_count"":253},{""name"":""/clicked_point"",""type"":""geometry_msgs/msg/PointStamped"",""message_count"":0},{""name"":""/commands/motor/brake"",""type"":""std_msgs/msg/Float64"",""message_count"":5292},{""name"":""/commands/motor/speed"",""type"":""std_msgs/msg/Float64"",""message_count"":9739},{""name"":""/commands/servo/position"",""type"":""std_msgs/msg/Float64"",""message_count"":10551},{""name"":""/cruise/gap_data"",""type"":""f110_msgs/msg/GapData"",""message_count"":0},{""name"":""/cruise_speed_limit"",""type"":""std_msgs/msg/Float64"",""message_count"":25302},{""name"":""/debug/l1_lookahead"",""type"":""visualization_msgs/msg/MarkerArray"",""message_count"":21679},{""name"":""/diagnostics"",""type"":""diagnostic_msgs/msg/DiagnosticArray"",""message_count"":1927},{""name"":""/drive"",""type"":""ackermann_msgs/msg/AckermannDriveStamped"",""message_count"":25222},{""name"":""/drive_autonomous"",""type"":""ackermann_msgs/msg/AckermannDriveStamped"",""message_count"":25221},{""name"":""/drive_mode"",""type"":""std_msgs/msg/String"",""message_count"":9769},{""name"":""/estimated_lap_time"",""type"":""std_msgs/msg/Float32"",""message_count"":253},{""name"":""/estop_lock"",""type"":""std_msgs/msg/Bool"",""message_count"":9769},{""name"":""/events/write_split"",""type"":""rosbag2_interfaces/msg/WriteSplitEvent"",""message_count"":0},{""name"":""/global_waypoints"",""type"":""f110_msgs/msg/WpntArray"",""message_count"":254},{""name"":""/global_waypoints/markers"",""type"":""visualization_msgs/msg/MarkerArray"",""message_count"":253},{""name"":""/global_waypoints/shortest_path"",""type"":""f110_msgs/msg/WpntArray"",""message_count"":253},{""name"":""/goal_pose"",""type"":""geometry_msgs/msg/PoseStamped"",""message_count"":0},{""name"":""/initialpose"",""type"":""geometry_msgs/msg/PoseWithCovarianceStamped"",""message_count"":9},{""name"":""/joy"",""type"":""sensor_msgs/msg/Joy"",""message_count"":8663},{""name"":""/kinematic_localization/diagnostics"",""type"":""diagnostic_msgs/msg/DiagnosticArray"",""message_count"":16482},{""name"":""/laser_status"",""type"":""urg_node_msgs/msg/Status"",""message_count"":0},{""name"":""/local_waypoints"",""type"":""f110_msgs/msg/WpntArray"",""message_count"":15749},{""name"":""/local_waypoints/path"",""type"":""nav_msgs/msg/Path"",""message_count"":15749},{""name"":""/map"",""type"":""nav_msgs/msg/OccupancyGrid"",""message_count"":51},{""name"":""/map_infos"",""type"":""std_msgs/msg/String"",""message_count"":253},{""name"":""/odom"",""type"":""nav_msgs/msg/Odometry"",""message_count"":24537},{""name"":""/parameter_events"",""type"":""rcl_interfaces/msg/ParameterEvent"",""message_count"":0},{""name"":""/pf/pose/odom"",""type"":""nav_msgs/msg/Odometry"",""message_count"":16482},{""name"":""/rosout"",""type"":""rcl_interfaces/msg/Log"",""message_count"":1522},{""name"":""/scan"",""type"":""sensor_msgs/msg/LaserScan"",""message_count"":16697},{""name"":""/sensors/core"",""type"":""vesc_msgs/msg/VescStateStamped"",""message_count"":24608},{""name"":""/sensors/imu"",""type"":""vesc_msgs/msg/VescImuStamped"",""message_count"":24608},{""name"":""/sensors/imu/raw"",""type"":""sensor_msgs/msg/Imu"",""message_count"":24608},{""name"":""/sensors/servo_position_command"",""type"":""std_msgs/msg/Float64"",""message_count"":10550},{""name"":""/state"",""type"":""f110_msgs/msg/StateMachine"",""message_count"":4761},{""name"":""/teleop"",""type"":""ackermann_msgs/msg/AckermannDriveStamped"",""message_count"":1763},{""name"":""/tf"",""type"":""tf2_msgs/msg/TFMessage"",""message_count"":41039},{""name"":""/tf_static"",""type"":""tf2_msgs/msg/TFMessage"",""message_count"":2},{""name"":""/trackbounds/markers"",""type"":""visualization_msgs/msg/MarkerArray"",""message_count"":253}]","[{""path"":""rosbag2_2026_08_24-13_30_55_0.mcap"",""exists"":true,""size_bytes"":337404023}]",6265d9bf87f5a5316d15dde878e9c73df7536a479d943f1e9dcc2ab71ccdd037,7692abcaf9e34a3cae1ba30019e4957603993f5a4f3a6ed2696c3a5f47b4cbc2,,True,True
rosbag_research_inventory/1,/home/sungho/.local/share/Trash/files/Copy of rosbag2_2026_08_24-13_30_55,Copy of rosbag2_2026_08_24-13_30_55,mcap,506.791553322,337404023,421349,44,1787545856022277283,1787546362813830605,"[{""name"":""/ackermann_cmd"",""type"":""ackermann_msgs/msg/AckermannDriveStamped"",""message_count"":10551},{""name"":""/car_state/frenet/odom"",""type"":""nav_msgs/msg/Odometry"",""message_count"":16422},{""name"":""/centerline_waypoints"",""type"":""f110_msgs/msg/WpntArray"",""message_count"":253},{""name"":""/centerline_waypoints/markers"",""type"":""visualization_msgs/msg/MarkerArray"",""message_count"":253},{""name"":""/clicked_point"",""type"":""geometry_msgs/msg/PointStamped"",""message_count"":0},{""name"":""/commands/motor/brake"",""type"":""std_msgs/msg/Float64"",""message_count"":5292},{""name"":""/commands/motor/speed"",""type"":""std_msgs/msg/Float64"",""message_count"":9739},{""name"":""/commands/servo/position"",""type"":""std_msgs/msg/Float64"",""message_count"":10551},{""name"":""/cruise/gap_data"",""type"":""f110_msgs/msg/GapData"",""message_count"":0},{""name"":""/cruise_speed_limit"",""type"":""std_msgs/msg/Float64"",""message_count"":25302},{""name"":""/debug/l1_lookahead"",""type"":""visualization_msgs/msg/MarkerArray"",""message_count"":21679},{""name"":""/diagnostics"",""type"":""diagnostic_msgs/msg/DiagnosticArray"",""message_count"":1927},{""name"":""/drive"",""type"":""ackermann_msgs/msg/AckermannDriveStamped"",""message_count"":25222},{""name"":""/drive_autonomous"",""type"":""ackermann_msgs/msg/AckermannDriveStamped"",""message_count"":25221},{""name"":""/drive_mode"",""type"":""std_msgs/msg/String"",""message_count"":9769},{""name"":""/estimated_lap_time"",""type"":""std_msgs/msg/Float32"",""message_count"":253},{""name"":""/estop_lock"",""type"":""std_msgs/msg/Bool"",""message_count"":9769},{""name"":""/events/write_split"",""type"":""rosbag2_interfaces/msg/WriteSplitEvent"",""message_count"":0},{""name"":""/global_waypoints"",""type"":""f110_msgs/msg/WpntArray"",""message_count"":254},{""name"":""/global_waypoints/markers"",""type"":""visualization_msgs/msg/MarkerArray"",""message_count"":253},{""name"":""/global_waypoints/shortest_path"",""type"":""f110_msgs/msg/WpntArray"",""message_count"":253},{""name"":""/goal_pose"",""type"":""geometry_msgs/msg/PoseStamped"",""message_count"":0},{""name"":""/initialpose"",""type"":""geometry_msgs/msg/PoseWithCovarianceStamped"",""message_count"":9},{""name"":""/joy"",""type"":""sensor_msgs/msg/Joy"",""message_count"":8663},{""name"":""/kinematic_localization/diagnostics"",""type"":""diagnostic_msgs/msg/DiagnosticArray"",""message_count"":16482},{""name"":""/laser_status"",""type"":""urg_node_msgs/msg/Status"",""message_count"":0},{""name"":""/local_waypoints"",""type"":""f110_msgs/msg/WpntArray"",""message_count"":15749},{""name"":""/local_waypoints/path"",""type"":""nav_msgs/msg/Path"",""message_count"":15749},{""name"":""/map"",""type"":""nav_msgs/msg/OccupancyGrid"",""message_count"":51},{""name"":""/map_infos"",""type"":""std_msgs/msg/String"",""message_count"":253},{""name"":""/odom"",""type"":""nav_msgs/msg/Odometry"",""message_count"":24537},{""name"":""/parameter_events"",""type"":""rcl_interfaces/msg/ParameterEvent"",""message_count"":0},{""name"":""/pf/pose/odom"",""type"":""nav_msgs/msg/Odometry"",""message_count"":16482},{""name"":""/rosout"",""type"":""rcl_interfaces/msg/Log"",""message_count"":1522},{""name"":""/scan"",""type"":""sensor_msgs/msg/LaserScan"",""message_count"":16697},{""name"":""/sensors/core"",""type"":""vesc_msgs/msg/VescStateStamped"",""message_count"":24608},{""name"":""/sensors/imu"",""type"":""vesc_msgs/msg/VescImuStamped"",""message_count"":24608},{""name"":""/sensors/imu/raw"",""type"":""sensor_msgs/msg/Imu"",""message_count"":24608},{""name"":""/sensors/servo_position_command"",""type"":""std_msgs/msg/Float64"",""message_count"":10550},{""name"":""/state"",""type"":""f110_msgs/msg/StateMachine"",""message_count"":4761},{""name"":""/teleop"",""type"":""ackermann_msgs/msg/AckermannDriveStamped"",""message_count"":1763},{""name"":""/tf"",""type"":""tf2_msgs/msg/TFMessage"",""message_count"":41039},{""name"":""/tf_static"",""type"":""tf2_msgs/msg/TFMessage"",""message_count"":2},{""name"":""/trackbounds/markers"",""type"":""visualization_msgs/msg/MarkerArray"",""message_count"":253}]","[{""path"":""rosbag2_2026_08_24-13_30_55_0.mcap"",""exists"":true,""size_bytes"":337404023}]",6265d9bf87f5a5316d15dde878e9c73df7536a479d943f1e9dcc2ab71ccdd037,7692abcaf9e34a3cae1ba30019e4957603993f5a4f3a6ed2696c3a5f47b4cbc2,,True,True
rosbag_research_inventory/1,/home/sungho/.local/share/Trash/files/Copy of rosbag2_2026_08_24-13_42_16.2,Copy of rosbag2_2026_08_24-13_42_16.2,mcap,639.655758115,498874691,561452,55,1787546536351088439,1787547176006846554,"[{""name"":""/ackermann_cmd"",""type"":""ackermann_msgs/msg/AckermannDriveStamped"",""message_count"":14476},{""name"":""/avoid_waypoints"",""type"":""f110_msgs/msg/OTWpntArray"",""message_count"":15768},{""name"":""/bond"",""type"":""bond/msg/Status"",""message_count"":9373},{""name"":""/car_state/frenet/odom"",""type"":""nav_msgs/msg/Odometry"",""message_count"":15260},{""name"":""/centerline_waypoints"",""type"":""f110_msgs/msg/WpntArray"",""message_count"":319},{""name"":""/centerline_waypoints/markers"",""type"":""visualization_msgs/msg/MarkerArray"",""message_count"":319},{""name"":""/clicked_point"",""type"":""geometry_msgs/msg/PointStamped"",""message_count"":0},{""name"":""/commands/motor/brake"",""type"":""std_msgs/msg/Float64"",""message_count"":6705},{""name"":""/commands/motor/speed"",""type"":""std_msgs/msg/Float64"",""message_count"":13910},{""name"":""/commands/servo/position"",""type"":""std_msgs/msg/Float64"",""message_count"":14488},{""name"":""/confirmed_static_obs"",""type"":""f110_msgs/msg/ObstacleArray"",""message_count"":8813},{""name"":""/cruise/gap_data"",""type"":""f110_msgs/msg/GapData"",""message_count"":0},{""name"":""/cruise_speed_limit"",""type"":""std_msgs/msg/Float64"",""message_count"":31754},{""name"":""/debug/l1_lookahead"",""type"":""visualization_msgs/msg/MarkerArray"",""message_count"":23968},{""name"":""/diagnostics"",""type"":""diagnostic_msgs/msg/DiagnosticArray"",""message_count"":2782},{""name"":""/drive"",""type"":""ackermann_msgs/msg/AckermannDriveStamped"",""message_count"":31271},{""name"":""/drive_autonomous"",""type"":""ackermann_msgs/msg/AckermannDriveStamped"",""message_count"":31270},{""name"":""/drive_mode"",""type"":""std_msgs/msg/String"",""message_count"":12269},{""name"":""/estimated_lap_time"",""type"":""std_msgs/msg/Float32"",""message_count"":319},{""name"":""/estop_lock"",""type"":""std_msgs/msg/Bool"",""message_count"":12269},{""name"":""/events/write_split"",""type"":""rosbag2_interfaces/msg/WriteSplitEvent"",""message_count"":0},{""name"":""/global_waypoints"",""type"":""f110_msgs/msg/WpntArray"",""message_count"":317},{""name"":""/global_waypoints/markers"",""type"":""visualization_msgs/msg/MarkerArray"",""message_count"":319},{""name"":""/global_waypoints/shortest_path"",""type"":""f110_msgs/msg/WpntArray"",""message_count"":319},{""name"":""/goal_pose"",""type"":""geometry_msgs/msg/PoseStamped"",""message_count"":0},{""name"":""/initialpose"",""type"":""geometry_msgs/msg/PoseWithCovarianceStamped"",""message_count"":16},{""name"":""/joy"",""type"":""sensor_msgs/msg/Joy"",""message_count"":10016},{""name"":""/kinematic_localization/diagnostics"",""type"":""diagnostic_msgs/msg/DiagnosticArray"",""message_count"":16524},{""name"":""/laser_status"",""type"":""urg_node_msgs/msg/Status"",""message_count"":0},{""name"":""/local_planning/p3_shadow"",""type"":""std_msgs/msg/String"",""message_count"":1516},{""name"":""/local_planning/path"",""type"":""nav_msgs/msg/Path"",""message_count"":3603},{""name"":""/local_planning/reference_map"",""type"":""nav_msgs/msg/OccupancyGrid"",""message_count"":6},{""name"":""/local_planning_map_server/transition_event"",""type"":""lifecycle_msgs/msg/TransitionEvent"",""message_count"":28},{""name"":""/local_waypoints"",""type"":""f110_msgs/msg/WpntArray"",""message_count"":12253},{""name"":""/local_waypoints/path"",""type"":""nav_msgs/msg/Path"",""message_count"":12252},{""name"":""/map"",""type"":""nav_msgs/msg/OccupancyGrid"",""message_count"":64},{""name"":""/map_infos"",""type"":""std_msgs/msg/String"",""message_count"":319},{""name"":""/odom"",""type"":""nav_msgs/msg/Odometry"",""message_count"":30550},{""name"":""/opp_obs"",""type"":""f110_msgs/msg/ObstacleArray"",""message_count"":5709},{""name"":""/opp_obs/markers"",""type"":""visualization_msgs/msg/MarkerArray"",""message_count"":5709},{""name"":""/parameter_events"",""type"":""rcl_interfaces/msg/ParameterEvent"",""message_count"":1},{""name"":""/pf/pose/odom"",""type"":""nav_msgs/msg/Odometry"",""message_count"":16524},{""name"":""/rosout"",""type"":""rcl_interfaces/msg/Log"",""message_count"":5917},{""name"":""/scan"",""type"":""sensor_msgs/msg/LaserScan"",""message_count"":16464},{""name"":""/sensors/core"",""type"":""vesc_msgs/msg/VescStateStamped"",""message_count"":30813},{""name"":""/sensors/imu"",""type"":""vesc_msgs/msg/VescImuStamped"",""message_count"":30811},{""name"":""/sensors/imu/raw"",""type"":""sensor_msgs/msg/Imu"",""message_count"":30811},{""name"":""/sensors/servo_position_command"",""type"":""std_msgs/msg/Float64"",""message_count"":14488},{""name"":""/state"",""type"":""f110_msgs/msg/StateMachine"",""message_count"":5125},{""name"":""/static_obs"",""type"":""f110_msgs/msg/ObstacleArray"",""message_count"":8812},{""name"":""/static_obs/markers"",""type"":""visualization_msgs/msg/MarkerArray"",""message_count"":8804},{""name"":""/teleop"",""type"":""ackermann_msgs/msg/AckermannDriveStamped"",""message_count"":437},{""name"":""/tf"",""type"":""tf2_msgs/msg/TFMessage"",""message_count"":47270},{""name"":""/tf_static"",""type"":""tf2_msgs/msg/TFMessage"",""message_count"":3},{""name"":""/trackbounds/markers"",""type"":""visualization_msgs/msg/MarkerArray"",""message_count"":319}]","[{""path"":""rosbag2_2026_08_24-13_42_16_0.mcap"",""exists"":true,""size_bytes"":498874691}]",8c5ce74ba496a4d292c3bc978004e83dfbe0b63609708f1332e789f27ec5a157,5e78a0e5b6c3812261ee67b7683f750bb94c858bbf7b1b2f2a8142c0ab4663ac,,True,True
rosbag_research_inventory/1,/home/sungho/.local/share/Trash/files/Copy of rosbag2_2026_08_24-13_42_16,Copy of rosbag2_2026_08_24-13_42_16,mcap,639.655758115,498874691,561452,55,1787546536351088439,1787547176006846554,"[{""name"":""/ackermann_cmd"",""type"":""ackermann_msgs/msg/AckermannDriveStamped"",""message_count"":14476},{""name"":""/avoid_waypoints"",""type"":""f110_msgs/msg/OTWpntArray"",""message_count"":15768},{""name"":""/bond"",""type"":""bond/msg/Status"",""message_count"":9373},{""name"":""/car_state/frenet/odom"",""type"":""nav_msgs/msg/Odometry"",""message_count"":15260},{""name"":""/centerline_waypoints"",""type"":""f110_msgs/msg/WpntArray"",""message_count"":319},{""name"":""/centerline_waypoints/markers"",""type"":""visualization_msgs/msg/MarkerArray"",""message_count"":319},{""name"":""/clicked_point"",""type"":""geometry_msgs/msg/PointStamped"",""message_count"":0},{""name"":""/commands/motor/brake"",""type"":""std_msgs/msg/Float64"",""message_count"":6705},{""name"":""/commands/motor/speed"",""type"":""std_msgs/msg/Float64"",""message_count"":13910},{""name"":""/commands/servo/position"",""type"":""std_msgs/msg/Float64"",""message_count"":14488},{""name"":""/confirmed_static_obs"",""type"":""f110_msgs/msg/ObstacleArray"",""message_count"":8813},{""name"":""/cruise/gap_data"",""type"":""f110_msgs/msg/GapData"",""message_count"":0},{""name"":""/cruise_speed_limit"",""type"":""std_msgs/msg/Float64"",""message_count"":31754},{""name"":""/debug/l1_lookahead"",""type"":""visualization_msgs/msg/MarkerArray"",""message_count"":23968},{""name"":""/diagnostics"",""type"":""diagnostic_msgs/msg/DiagnosticArray"",""message_count"":2782},{""name"":""/drive"",""type"":""ackermann_msgs/msg/AckermannDriveStamped"",""message_count"":31271},{""name"":""/drive_autonomous"",""type"":""ackermann_msgs/msg/AckermannDriveStamped"",""message_count"":31270},{""name"":""/drive_mode"",""type"":""std_msgs/msg/String"",""message_count"":12269},{""name"":""/estimated_lap_time"",""type"":""std_msgs/msg/Float32"",""message_count"":319},{""name"":""/estop_lock"",""type"":""std_msgs/msg/Bool"",""message_count"":12269},{""name"":""/events/write_split"",""type"":""rosbag2_interfaces/msg/WriteSplitEvent"",""message_count"":0},{""name"":""/global_waypoints"",""type"":""f110_msgs/msg/WpntArray"",""message_count"":317},{""name"":""/global_waypoints/markers"",""type"":""visualization_msgs/msg/MarkerArray"",""message_count"":319},{""name"":""/global_waypoints/shortest_path"",""type"":""f110_msgs/msg/WpntArray"",""message_count"":319},{""name"":""/goal_pose"",""type"":""geometry_msgs/msg/PoseStamped"",""message_count"":0},{""name"":""/initialpose"",""type"":""geometry_msgs/msg/PoseWithCovarianceStamped"",""message_count"":16},{""name"":""/joy"",""type"":""sensor_msgs/msg/Joy"",""message_count"":10016},{""name"":""/kinematic_localization/diagnostics"",""type"":""diagnostic_msgs/msg/DiagnosticArray"",""message_count"":16524},{""name"":""/laser_status"",""type"":""urg_node_msgs/msg/Status"",""message_count"":0},{""name"":""/local_planning/p3_shadow"",""type"":""std_msgs/msg/String"",""message_count"":1516},{""name"":""/local_planning/path"",""type"":""nav_msgs/msg/Path"",""message_count"":3603},{""name"":""/local_planning/reference_map"",""type"":""nav_msgs/msg/OccupancyGrid"",""message_count"":6},{""name"":""/local_planning_map_server/transition_event"",""type"":""lifecycle_msgs/msg/TransitionEvent"",""message_count"":28},{""name"":""/local_waypoints"",""type"":""f110_msgs/msg/WpntArray"",""message_count"":12253},{""name"":""/local_waypoints/path"",""type"":""nav_msgs/msg/Path"",""message_count"":12252},{""name"":""/map"",""type"":""nav_msgs/msg/OccupancyGrid"",""message_count"":64},{""name"":""/map_infos"",""type"":""std_msgs/msg/String"",""message_count"":319},{""name"":""/odom"",""type"":""nav_msgs/msg/Odometry"",""message_count"":30550},{""name"":""/opp_obs"",""type"":""f110_msgs/msg/ObstacleArray"",""message_count"":5709},{""name"":""/opp_obs/markers"",""type"":""visualization_msgs/msg/MarkerArray"",""message_count"":5709},{""name"":""/parameter_events"",""type"":""rcl_interfaces/msg/ParameterEvent"",""message_count"":1},{""name"":""/pf/pose/odom"",""type"":""nav_msgs/msg/Odometry"",""message_count"":16524},{""name"":""/rosout"",""type"":""rcl_interfaces/msg/Log"",""message_count"":5917},{""name"":""/scan"",""type"":""sensor_msgs/msg/LaserScan"",""message_count"":16464},{""name"":""/sensors/core"",""type"":""vesc_msgs/msg/VescStateStamped"",""message_count"":30813},{""name"":""/sensors/imu"",""type"":""vesc_msgs/msg/VescImuStamped"",""message_count"":30811},{""name"":""/sensors/imu/raw"",""type"":""sensor_msgs/msg/Imu"",""message_count"":30811},{""name"":""/sensors/servo_position_command"",""type"":""std_msgs/msg/Float64"",""message_count"":14488},{""name"":""/state"",""type"":""f110_msgs/msg/StateMachine"",""message_count"":5125},{""name"":""/static_obs"",""type"":""f110_msgs/msg/ObstacleArray"",""message_count"":8812},{""name"":""/static_obs/markers"",""type"":""visualization_msgs/msg/MarkerArray"",""message_count"":8804},{""name"":""/teleop"",""type"":""ackermann_msgs/msg/AckermannDriveStamped"",""message_count"":437},{""name"":""/tf"",""type"":""tf2_msgs/msg/TFMessage"",""message_count"":47270},{""name"":""/tf_static"",""type"":""tf2_msgs/msg/TFMessage"",""message_count"":3},{""name"":""/trackbounds/markers"",""type"":""visualization_msgs/msg/MarkerArray"",""message_count"":319}]","[{""path"":""rosbag2_2026_08_24-13_42_16_0.mcap"",""exists"":true,""size_bytes"":498874691}]",8c5ce74ba496a4d292c3bc978004e83dfbe0b63609708f1332e789f27ec5a157,5e78a0e5b6c3812261ee67b7683f750bb94c858bbf7b1b2f2a8142c0ab4663ac,,True,True
rosbag_research_inventory/1,/home/sungho/.local/share/Trash/files/avoid_test,avoid_test,mcap,53.645234198,11810353,17100,3,1786202938659190918,1786202992304425116,"[{""name"":""/car_state/frenet/odom"",""type"":""nav_msgs/msg/Odometry"",""message_count"":1626},{""name"":""/drive"",""type"":""ackermann_msgs/msg/AckermannDriveStamped"",""message_count"":2204},{""name"":""/ego_racecar/odom"",""type"":""nav_msgs/msg/Odometry"",""message_count"":13270}]","[{""path"":""avoid_test_0.mcap"",""exists"":true,""size_bytes"":11810353}]",46f0ab1921c749abe0bfb36e053a0fc4b06dcf1cff70b30686c2bf2ef4e651a7,9a66fea6dc8d5342291aa678be9d2f130a173a9b054b182888173fa63a8c3695,,False,True
rosbag_research_inventory/1,/home/sungho/.local/share/Trash/files/avoid_test2,avoid_test2,mcap,39.762020459,23685734,22532,8,1786203337720299460,1786203377482319919,"[{""name"":""/avoid_waypoints"",""type"":""f110_msgs/msg/OTWpntArray"",""message_count"":1591},{""name"":""/car_state/frenet/odom"",""type"":""nav_msgs/msg/Odometry"",""message_count"":1183},{""name"":""/drive"",""type"":""ackermann_msgs/msg/AckermannDriveStamped"",""message_count"":1944},{""name"":""/ego_racecar/odom"",""type"":""nav_msgs/msg/Odometry"",""message_count"":9853},{""name"":""/global_waypoints"",""type"":""f110_msgs/msg/WpntArray"",""message_count"":21},{""name"":""/local_waypoints"",""type"":""f110_msgs/msg/WpntArray"",""message_count"":1186},{""name"":""/state"",""type"":""f110_msgs/msg/StateMachine"",""message_count"":392},{""name"":""/static_obs"",""type"":""f110_msgs/msg/ObstacleArray"",""message_count"":6362}]","[{""path"":""avoid_test2_0.mcap"",""exists"":true,""size_bytes"":23685734}]",caa95c6730b50485df988f22deb31f81549c9893b6ab7a69f3744da53dd6defc,a36c3c458463812e7878b5a2fdbf0f5bae489bf2a656f299bb5ac4eccd8608b1,,False,True
rosbag_research_inventory/1,/home/sungho/.local/share/Trash/files/frenet_jump_20260728_153147,frenet_jump_20260728_153147,sqlite3,9.307093782,2580480,4632,7,1785220308232852963,1785220317539946745,"[{""name"":""/avoid_waypoints"",""type"":""f110_msgs/msg/OTWpntArray"",""message_count"":184},{""name"":""/car_state/frenet/odom"",""type"":""nav_msgs/msg/Odometry"",""message_count"":261},{""name"":""/ego_racecar/odom"",""type"":""nav_msgs/msg/Odometry"",""message_count"":1590},{""name"":""/global_waypoints"",""type"":""f110_msgs/msg/WpntArray"",""message_count"":6},{""name"":""/perception/obstacles"",""type"":""f110_msgs/msg/ObstacleArray"",""message_count"":2234},{""name"":""/pf/pose/odom"",""type"":""nav_msgs/msg/Odometry"",""message_count"":283},{""name"":""/state"",""type"":""f110_msgs/msg/StateMachine"",""message_count"":74}]","[{""path"":""frenet_jump_20260728_153147_0.db3"",""exists"":true,""size_bytes"":2580480}]",573078d92296129074484d3ca551c86e6c51758268ed1d18b0a22f50faecf943,bde89cef79bf844500424ba87327da878c39bb8b8c8759970f1bbbcfdbca04fe,,False,True
rosbag_research_inventory/1,/home/sungho/.local/share/Trash/files/frenet_jump_20260728_153231,frenet_jump_20260728_153231,sqlite3,7.112072554,1720320,2279,5,1785220351983891810,1785220359095964364,"[{""name"":""/avoid_waypoints"",""type"":""f110_msgs/msg/OTWpntArray"",""message_count"":134},{""name"":""/ego_racecar/odom"",""type"":""nav_msgs/msg/Odometry"",""message_count"":1643},{""name"":""/perception/obstacles"",""type"":""f110_msgs/msg/ObstacleArray"",""message_count"":0},{""name"":""/pf/pose/odom"",""type"":""nav_msgs/msg/Odometry"",""message_count"":374},{""name"":""/state"",""type"":""f110_msgs/msg/StateMachine"",""message_count"":128}]","[{""path"":""frenet_jump_20260728_153231_0.db3"",""exists"":true,""size_bytes"":1720320}]",bb8c288830bcfb7901527280b12281160a5d98e860e1a7a178336eb13d47a09f,6eca4039e7766ab06f0997c17b3029fa6ce22d93f94a5078e6cc41e4e647fc95,,False,True
rosbag_research_inventory/1,/home/sungho/.local/share/Trash/files/frenet_jump_20260728_153404,frenet_jump_20260728_153404,sqlite3,33.570307107,8544256,17313,7,1785220445327631961,1785220478897939068,"[{""name"":""/avoid_waypoints"",""type"":""f110_msgs/msg/OTWpntArray"",""message_count"":662},{""name"":""/car_state/frenet/odom"",""type"":""nav_msgs/msg/Odometry"",""message_count"":0},{""name"":""/ego_racecar/odom"",""type"":""nav_msgs/msg/Odometry"",""message_count"":8148},{""name"":""/global_waypoints"",""type"":""f110_msgs/msg/WpntArray"",""message_count"":18},{""name"":""/perception/obstacles"",""type"":""f110_msgs/msg/ObstacleArray"",""message_count"":8148},{""name"":""/pf/pose/odom"",""type"":""nav_msgs/msg/Odometry"",""message_count"":0},{""name"":""/state"",""type"":""f110_msgs/msg/StateMachine"",""message_count"":337}]","[{""path"":""frenet_jump_20260728_153404_0.db3"",""exists"":true,""size_bytes"":8544256}]",c625b8f6f065808eb36e4f17b0ffc4b9bb949ce4b2383d9f4849c1150e5b0a07,6217ffa1a131d8fc892c1d64af2e1a6a9fb2425fe87299d47e592eaf4e0f0969,,False,True
rosbag_research_inventory/1,/home/sungho/.local/share/Trash/files/frenet_jump_20260728_155119,frenet_jump_20260728_155119,sqlite3,43.123551580,11149312,13253,3,1785221480463586403,1785221523587137983,"[{""name"":""/car_state/frenet/odom"",""type"":""nav_msgs/msg/Odometry"",""message_count"":1298},{""name"":""/ego_racecar/odom"",""type"":""nav_msgs/msg/Odometry"",""message_count"":10648},{""name"":""/pf/pose/odom"",""type"":""nav_msgs/msg/Odometry"",""message_count"":1307}]","[{""path"":""frenet_jump_20260728_155119_0.db3"",""exists"":true,""size_bytes"":11149312}]",46d1946f6f77307654615be00948c0c05eeef47ef7291cc2e0151e6d0000b14d,8c539590dbb34c3ad44451fba1c3bed735e129ecebeb0308a3c13601f4696da6,,False,True
