population,count,coverage_role,in_corrected_method_denominator,label_or_reason
RULE_PROPERTY_CONSERVATIVE_TOTAL,538,source population,NO,partitioned below
FROZEN_EXACT_HARD_VALID,338,confirmed exact-positive success,YES,FROZEN_V3_COVERED
NONBLOCKING_RESULT_SEMANTIC,101,no avoidance candidate required,NO,NO_BLOCKING_OBSTACLE_GLOBAL_LINE_RESULT
CORRIDOR_ONLY_WITHOUT_EXACT_P3_WITNESS,83,one-dimensional reachability only,NO,NO_EXACT_P3_WITNESS_CONFIRMED
NO_VALID_SIDE_GEOMETRY,3,exact geometry invariant exclusion,NO,NO_VALID_SIDE_DOMAIN
EXACT_PROPERTY_COVERAGE_MISS,13,confirmed exact-positive failure,YES,TOP12_9_B128_2_LATERAL_2
CONFIRMED_POSITIVE_PROPERTY_DENOMINATOR,351,338 covered plus 13 exact misses,YES,EVIDENCE_CONDITIONED_DENOMINATOR
EXACT_PROPERTY_FAILURE_RESEARCH_DENOMINATOR,13,failure mechanism study,YES,EXACT_P3_WITNESS_EXISTS
PRODUCTION_RACELINE_METHOD_MISSES,6,one Top12 plus five transition misses,YES,EXACT_P3_WITNESS_EXISTS
PARAMETER_INTERFACE_MISMATCH,1,separate contract reconciliation,NO,RACELINE_TIGHT_GAP
COMBINED_EXACT_METHOD_POLICY_FAILURE_DENOMINATOR,19,13 property plus 6 production/raceline,YES,SELECTION_10_B128_2_TRANSITION_5_LATERAL_2
