dataset_role,variant,metric,baseline_oracle_v2_positive_count,exact_witness_retained_positive_count,inconclusive_positive_count,selected_r3_k12_recovered_among_retained,selected_r3_k12_recovery_rate_among_retained,interpretation,material_conclusion_change
PILOT_SEEN_DEVELOPMENT_DATA,BASELINE_ORACLE_V2,HARD,5,5,0,4,0.8,EXACT_WITNESS_LOWER_BOUND_FOR_DECLARED_SUBSET; NOT_FULL_VARIANT_SEARCH,NO_ON_RETAINED_EXACT_WITNESSES
PILOT_SEEN_DEVELOPMENT_DATA,BASELINE_ORACLE_V2,USABLE,5,5,0,4,0.8,EXACT_WITNESS_LOWER_BOUND_FOR_DECLARED_SUBSET; NOT_FULL_VARIANT_SEARCH,NO_ON_RETAINED_EXACT_WITNESSES
PILOT_SEEN_DEVELOPMENT_DATA,COARSE_GRID_0P02,HARD,5,5,0,4,0.8,EXACT_WITNESS_LOWER_BOUND_FOR_DECLARED_SUBSET; NOT_FULL_VARIANT_SEARCH,NO_ON_RETAINED_EXACT_WITNESSES
PILOT_SEEN_DEVELOPMENT_DATA,COARSE_GRID_0P02,USABLE,5,5,0,4,0.8,EXACT_WITNESS_LOWER_BOUND_FOR_DECLARED_SUBSET; NOT_FULL_VARIANT_SEARCH,NO_ON_RETAINED_EXACT_WITNESSES
PILOT_SEEN_DEVELOPMENT_DATA,NARROW_D_MID_1P25,HARD,5,5,0,4,0.8,EXACT_WITNESS_LOWER_BOUND_FOR_DECLARED_SUBSET; NOT_FULL_VARIANT_SEARCH,NO_ON_RETAINED_EXACT_WITNESSES
PILOT_SEEN_DEVELOPMENT_DATA,NARROW_D_MID_1P25,USABLE,5,5,0,4,0.8,EXACT_WITNESS_LOWER_BOUND_FOR_DECLARED_SUBSET; NOT_FULL_VARIANT_SEARCH,NO_ON_RETAINED_EXACT_WITNESSES
PILOT_SEEN_DEVELOPMENT_DATA,MINIMUM_TRANSITION_PAIR_ONLY,HARD,5,1,4,1,1.0,EXACT_WITNESS_LOWER_BOUND_FOR_DECLARED_SUBSET; NOT_FULL_VARIANT_SEARCH,INCONCLUSIVE_IF_WITNESS_DROPS
PILOT_SEEN_DEVELOPMENT_DATA,MINIMUM_TRANSITION_PAIR_ONLY,USABLE,5,1,4,1,1.0,EXACT_WITNESS_LOWER_BOUND_FOR_DECLARED_SUBSET; NOT_FULL_VARIANT_SEARCH,INCONCLUSIVE_IF_WITNESS_DROPS
PILOT_SEEN_DEVELOPMENT_DATA,NO_FROZEN_FACTOR_ANCHORS,HARD,5,4,1,4,1.0,EXACT_WITNESS_LOWER_BOUND_FOR_DECLARED_SUBSET; NOT_FULL_VARIANT_SEARCH,INCONCLUSIVE_IF_WITNESS_DROPS
PILOT_SEEN_DEVELOPMENT_DATA,NO_FROZEN_FACTOR_ANCHORS,USABLE,5,4,1,4,1.0,EXACT_WITNESS_LOWER_BOUND_FOR_DECLARED_SUBSET; NOT_FULL_VARIANT_SEARCH,INCONCLUSIVE_IF_WITNESS_DROPS
DEVELOPMENT,BASELINE_ORACLE_V2,HARD,23,23,0,17,0.7391304347826086,EXACT_WITNESS_LOWER_BOUND_FOR_DECLARED_SUBSET; NOT_FULL_VARIANT_SEARCH,NO_ON_RETAINED_EXACT_WITNESSES
DEVELOPMENT,BASELINE_ORACLE_V2,USABLE,17,17,0,14,0.8235294117647058,EXACT_WITNESS_LOWER_BOUND_FOR_DECLARED_SUBSET; NOT_FULL_VARIANT_SEARCH,NO_ON_RETAINED_EXACT_WITNESSES
DEVELOPMENT,COARSE_GRID_0P02,HARD,23,20,3,15,0.75,EXACT_WITNESS_LOWER_BOUND_FOR_DECLARED_SUBSET; NOT_FULL_VARIANT_SEARCH,INCONCLUSIVE_IF_WITNESS_DROPS
DEVELOPMENT,COARSE_GRID_0P02,USABLE,17,15,2,12,0.8,EXACT_WITNESS_LOWER_BOUND_FOR_DECLARED_SUBSET; NOT_FULL_VARIANT_SEARCH,INCONCLUSIVE_IF_WITNESS_DROPS
DEVELOPMENT,NARROW_D_MID_1P25,HARD,23,23,0,17,0.7391304347826086,EXACT_WITNESS_LOWER_BOUND_FOR_DECLARED_SUBSET; NOT_FULL_VARIANT_SEARCH,NO_ON_RETAINED_EXACT_WITNESSES
DEVELOPMENT,NARROW_D_MID_1P25,USABLE,17,17,0,14,0.8235294117647058,EXACT_WITNESS_LOWER_BOUND_FOR_DECLARED_SUBSET; NOT_FULL_VARIANT_SEARCH,NO_ON_RETAINED_EXACT_WITNESSES
DEVELOPMENT,MINIMUM_TRANSITION_PAIR_ONLY,HARD,23,15,8,9,0.6,EXACT_WITNESS_LOWER_BOUND_FOR_DECLARED_SUBSET; NOT_FULL_VARIANT_SEARCH,INCONCLUSIVE_IF_WITNESS_DROPS
DEVELOPMENT,MINIMUM_TRANSITION_PAIR_ONLY,USABLE,17,9,8,6,0.6666666666666666,EXACT_WITNESS_LOWER_BOUND_FOR_DECLARED_SUBSET; NOT_FULL_VARIANT_SEARCH,INCONCLUSIVE_IF_WITNESS_DROPS
DEVELOPMENT,NO_FROZEN_FACTOR_ANCHORS,HARD,23,20,3,15,0.75,EXACT_WITNESS_LOWER_BOUND_FOR_DECLARED_SUBSET; NOT_FULL_VARIANT_SEARCH,INCONCLUSIVE_IF_WITNESS_DROPS
DEVELOPMENT,NO_FROZEN_FACTOR_ANCHORS,USABLE,17,15,2,13,0.8666666666666667,EXACT_WITNESS_LOWER_BOUND_FOR_DECLARED_SUBSET; NOT_FULL_VARIANT_SEARCH,INCONCLUSIVE_IF_WITNESS_DROPS
VALIDATION_SEEN_AFTER_V1,BASELINE_ORACLE_V2,HARD,25,25,0,19,0.76,EXACT_WITNESS_LOWER_BOUND_FOR_DECLARED_SUBSET; NOT_FULL_VARIANT_SEARCH,NO_ON_RETAINED_EXACT_WITNESSES
VALIDATION_SEEN_AFTER_V1,BASELINE_ORACLE_V2,USABLE,19,19,0,18,0.9473684210526315,EXACT_WITNESS_LOWER_BOUND_FOR_DECLARED_SUBSET; NOT_FULL_VARIANT_SEARCH,NO_ON_RETAINED_EXACT_WITNESSES
VALIDATION_SEEN_AFTER_V1,COARSE_GRID_0P02,HARD,25,24,1,19,0.7916666666666666,EXACT_WITNESS_LOWER_BOUND_FOR_DECLARED_SUBSET; NOT_FULL_VARIANT_SEARCH,INCONCLUSIVE_IF_WITNESS_DROPS
VALIDATION_SEEN_AFTER_V1,COARSE_GRID_0P02,USABLE,19,19,0,18,0.9473684210526315,EXACT_WITNESS_LOWER_BOUND_FOR_DECLARED_SUBSET; NOT_FULL_VARIANT_SEARCH,NO_ON_RETAINED_EXACT_WITNESSES
VALIDATION_SEEN_AFTER_V1,NARROW_D_MID_1P25,HARD,25,25,0,19,0.76,EXACT_WITNESS_LOWER_BOUND_FOR_DECLARED_SUBSET; NOT_FULL_VARIANT_SEARCH,NO_ON_RETAINED_EXACT_WITNESSES
VALIDATION_SEEN_AFTER_V1,NARROW_D_MID_1P25,USABLE,19,19,0,18,0.9473684210526315,EXACT_WITNESS_LOWER_BOUND_FOR_DECLARED_SUBSET; NOT_FULL_VARIANT_SEARCH,NO_ON_RETAINED_EXACT_WITNESSES
VALIDATION_SEEN_AFTER_V1,MINIMUM_TRANSITION_PAIR_ONLY,HARD,25,14,11,9,0.6428571428571429,EXACT_WITNESS_LOWER_BOUND_FOR_DECLARED_SUBSET; NOT_FULL_VARIANT_SEARCH,INCONCLUSIVE_IF_WITNESS_DROPS
VALIDATION_SEEN_AFTER_V1,MINIMUM_TRANSITION_PAIR_ONLY,USABLE,19,9,10,8,0.8888888888888888,EXACT_WITNESS_LOWER_BOUND_FOR_DECLARED_SUBSET; NOT_FULL_VARIANT_SEARCH,INCONCLUSIVE_IF_WITNESS_DROPS
VALIDATION_SEEN_AFTER_V1,NO_FROZEN_FACTOR_ANCHORS,HARD,25,25,0,19,0.76,EXACT_WITNESS_LOWER_BOUND_FOR_DECLARED_SUBSET; NOT_FULL_VARIANT_SEARCH,NO_ON_RETAINED_EXACT_WITNESSES
VALIDATION_SEEN_AFTER_V1,NO_FROZEN_FACTOR_ANCHORS,USABLE,19,19,0,18,0.9473684210526315,EXACT_WITNESS_LOWER_BOUND_FOR_DECLARED_SUBSET; NOT_FULL_VARIANT_SEARCH,NO_ON_RETAINED_EXACT_WITNESSES
COMBINED_SEEN,BASELINE_ORACLE_V2,HARD,48,48,0,36,0.75,EXACT_WITNESS_LOWER_BOUND_FOR_DECLARED_SUBSET; NOT_FULL_VARIANT_SEARCH,NO_ON_RETAINED_EXACT_WITNESSES
COMBINED_SEEN,BASELINE_ORACLE_V2,USABLE,36,36,0,32,0.8888888888888888,EXACT_WITNESS_LOWER_BOUND_FOR_DECLARED_SUBSET; NOT_FULL_VARIANT_SEARCH,NO_ON_RETAINED_EXACT_WITNESSES
COMBINED_SEEN,COARSE_GRID_0P02,HARD,48,44,4,34,0.7727272727272727,EXACT_WITNESS_LOWER_BOUND_FOR_DECLARED_SUBSET; NOT_FULL_VARIANT_SEARCH,INCONCLUSIVE_IF_WITNESS_DROPS
COMBINED_SEEN,COARSE_GRID_0P02,USABLE,36,34,2,30,0.8823529411764706,EXACT_WITNESS_LOWER_BOUND_FOR_DECLARED_SUBSET; NOT_FULL_VARIANT_SEARCH,INCONCLUSIVE_IF_WITNESS_DROPS
COMBINED_SEEN,NARROW_D_MID_1P25,HARD,48,48,0,36,0.75,EXACT_WITNESS_LOWER_BOUND_FOR_DECLARED_SUBSET; NOT_FULL_VARIANT_SEARCH,NO_ON_RETAINED_EXACT_WITNESSES
COMBINED_SEEN,NARROW_D_MID_1P25,USABLE,36,36,0,32,0.8888888888888888,EXACT_WITNESS_LOWER_BOUND_FOR_DECLARED_SUBSET; NOT_FULL_VARIANT_SEARCH,NO_ON_RETAINED_EXACT_WITNESSES
COMBINED_SEEN,MINIMUM_TRANSITION_PAIR_ONLY,HARD,48,29,19,18,0.6206896551724138,EXACT_WITNESS_LOWER_BOUND_FOR_DECLARED_SUBSET; NOT_FULL_VARIANT_SEARCH,INCONCLUSIVE_IF_WITNESS_DROPS
COMBINED_SEEN,MINIMUM_TRANSITION_PAIR_ONLY,USABLE,36,18,18,14,0.7777777777777778,EXACT_WITNESS_LOWER_BOUND_FOR_DECLARED_SUBSET; NOT_FULL_VARIANT_SEARCH,INCONCLUSIVE_IF_WITNESS_DROPS
COMBINED_SEEN,NO_FROZEN_FACTOR_ANCHORS,HARD,48,45,3,34,0.7555555555555555,EXACT_WITNESS_LOWER_BOUND_FOR_DECLARED_SUBSET; NOT_FULL_VARIANT_SEARCH,INCONCLUSIVE_IF_WITNESS_DROPS
COMBINED_SEEN,NO_FROZEN_FACTOR_ANCHORS,USABLE,36,34,2,31,0.9117647058823529,EXACT_WITNESS_LOWER_BOUND_FOR_DECLARED_SUBSET; NOT_FULL_VARIANT_SEARCH,INCONCLUSIVE_IF_WITNESS_DROPS
